,"#{""t_start"": 1599854281.899092"," ""env_id"": null}"
r,l,t
-100.2093,200,163.853053
-132.005996,200,165.044639
-118.116917,200,166.247812
-123.122975,200,167.444418
-120.722533,200,168.763818
-148.054014,200,169.993086
-155.585399,200,171.296768
-143.591129,200,172.496087
-155.708156,200,173.689174
-156.47649,200,174.887067
-148.93643,200,176.101273
-152.479513,200,177.297546
-118.767151,200,178.508543
-139.860738,200,179.699975
-164.813885,200,180.889662
-156.640984,200,182.077509
-141.591138,200,183.292752
-165.271275,200,184.487384
-142.877307,200,185.674813
-145.433911,200,186.889255
-136.509236,200,188.076103
-147.653085,200,189.267008
-152.49174,200,190.473709
-139.965987,200,191.667273
-141.743312,200,192.867473
-134.475405,200,194.059898
-145.825095,200,195.269387
-138.037025,200,196.571506
-132.42024,200,197.810837
-144.103636,200,199.083225
-128.811104,200,200.350345
-125.753573,200,201.716764
-138.141327,200,202.819979
-142.606314,200,203.879293
-119.96259,200,204.97126
-105.35229,200,206.249621
-124.882745,200,207.40788
-126.753685,200,208.47092
-116.013703,200,209.497653
-126.867752,200,210.533165
-150.744486,200,211.626132
-118.502935,200,212.660087
-124.306226,200,213.710685
-109.117011,200,214.74447
-124.141796,200,215.80069
-116.091299,200,216.840247
-145.793381,200,217.869685
-148.225708,200,219.103192
-134.25558,200,220.511211
-127.368103,200,221.621627
-113.191675,200,222.698284
-130.343201,200,223.781669
-109.539606,200,224.839239
-125.693269,200,225.956618
-91.903649,200,227.055526
-82.030461,200,228.110183
-94.5156,200,229.142965
-99.235564,200,230.180649
-86.814145,200,231.232451
-87.049093,200,232.263476
-105.972182,200,233.299375
-102.510715,200,234.391345
-87.542818,200,235.464429
-102.94373,200,236.496726
-105.7747,200,237.526808
-98.915333,200,238.55898
-109.298703,200,239.611239
-113.733433,200,240.645106
-97.747483,200,241.715166
-103.437255,200,242.798284
-101.811896,200,243.857375
-112.421547,200,245.081526
-114.228423,200,246.202978
-113.443078,200,247.277648
-90.334041,200,248.335379
-93.835419,200,249.438661
-126.942056,200,250.614637
-98.922581,200,251.654164
-104.853858,200,252.711986
-108.400761,200,253.764488
-101.56079,200,254.808323
-113.404617,200,255.897183
-111.212583,200,256.945545
-97.224634,200,258.023587
-93.203691,200,259.086997
-110.235144,200,260.1391
-108.005389,200,261.203972
-101.42526,200,262.289906
