,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_lr,params_net_arch,params_train_freq,state
20,20,1546.9785627305498,2020-10-19 03:07:10.815353,2020-10-19 03:19:28.941054,0 days 00:12:18.125701,512,50000,0.0017986081674487933,medium,100,COMPLETE
21,21,1016.9914345894524,2020-10-19 03:19:28.941536,2020-10-19 03:26:15.960361,0 days 00:06:47.018825,256,1000000,0.0009676507320651684,small,100,COMPLETE
22,22,1408.812335001086,2020-10-19 03:26:15.960837,2020-10-19 03:33:03.625108,0 days 00:06:47.664271,256,1000000,0.0014093349863464513,small,100,COMPLETE
23,23,1539.4578536989923,2020-10-19 03:33:03.625585,2020-10-19 03:39:52.561347,0 days 00:06:48.935762,256,1000000,0.0007867129027041347,small,100,COMPLETE
24,24,1219.8064829336215,2020-10-19 03:39:52.561830,2020-10-19 03:46:40.967471,0 days 00:06:48.405641,256,1000000,0.0010893875189598185,small,100,COMPLETE
25,25,1396.1366779740038,2020-10-19 03:46:40.967951,2020-10-19 03:53:29.002476,0 days 00:06:48.034525,256,1000000,0.00043765844538132996,small,100,COMPLETE
26,26,1403.1305204860528,2020-10-19 03:53:29.002963,2020-10-19 04:00:18.959242,0 days 00:06:49.956279,256,1000000,0.0006259106553983246,small,100,COMPLETE
27,27,1640.088177815956,2020-10-19 04:00:18.959724,2020-10-19 04:07:08.370060,0 days 00:06:49.410336,256,1000000,0.0011792666704776998,small,100,COMPLETE
28,28,1654.5613016062564,2020-10-19 04:07:08.370542,2020-10-19 04:13:56.929287,0 days 00:06:48.558745,256,1000000,0.0003878886310041711,small,100,COMPLETE
29,29,1273.4517716398366,2020-10-19 04:13:56.929765,2020-10-19 04:21:09.751425,0 days 00:07:12.821660,256,50000,0.0006241520541444498,medium,100,COMPLETE
30,30,1629.7358711073982,2020-10-19 04:21:09.751905,2020-10-19 04:27:57.222218,0 days 00:06:47.470313,256,50000,0.001391587446329168,small,100,COMPLETE
31,31,1376.8057343214884,2020-10-19 04:27:57.222698,2020-10-19 04:34:46.251187,0 days 00:06:49.028489,256,1000000,0.0008669117537630589,small,100,COMPLETE
32,32,1004.086212766552,2020-10-19 04:34:46.251670,2020-10-19 04:41:35.283058,0 days 00:06:49.031388,256,1000000,0.000956382484903809,small,100,COMPLETE
33,33,1196.8474884861018,2020-10-19 04:41:35.283546,2020-10-19 04:49:33.394761,0 days 00:07:58.111215,256,1000000,0.00048611428591062233,big,100,COMPLETE
34,34,3363.349548571705,2020-10-19 04:49:33.395247,2020-10-19 04:56:21.774839,0 days 00:06:48.379592,256,1000000,0.0009384689839321439,small,100,COMPLETE
35,35,1409.4587750892022,2020-10-19 04:56:21.775317,2020-10-19 05:04:31.474844,0 days 00:08:09.699527,256,1000000,0.0006112829772881488,big,1,COMPLETE
36,36,1305.6454042136309,2020-10-19 05:04:31.475328,2020-10-19 05:16:08.985603,0 days 00:11:37.510275,512,50000,0.0014660848940544003,small,100,COMPLETE
37,37,1633.798991627685,2020-10-19 05:16:08.986085,2020-10-19 05:24:17.803957,0 days 00:08:08.817872,256,1000000,0.0007226483885107905,big,1,COMPLETE
38,38,1831.031667871246,2020-10-19 05:24:17.804444,2020-10-19 05:31:05.647320,0 days 00:06:47.842876,256,50000,0.0005425964851182606,small,50,COMPLETE
39,39,1609.4697205986631,2020-10-19 05:31:05.647805,2020-10-19 05:37:54.169357,0 days 00:06:48.521552,256,1000000,0.0009097945553098842,small,100,COMPLETE
40,40,1420.8938023744274,2020-10-19 05:37:54.169855,2020-10-19 05:50:37.488652,0 days 00:12:43.318797,512,50000,0.0009817931735193978,medium,1,COMPLETE
41,41,1752.0794869358076,2020-10-19 05:50:37.489143,2020-10-19 05:57:25.637034,0 days 00:06:48.147891,256,1000000,0.0012480365822705403,small,100,COMPLETE
42,42,1413.661080384662,2020-10-19 05:57:25.637518,2020-10-19 06:04:15.017249,0 days 00:06:49.379731,256,1000000,0.0007061631730707865,small,100,COMPLETE
43,43,1521.585672513437,2020-10-19 06:04:15.017735,2020-10-19 06:11:02.112723,0 days 00:06:47.094988,256,1000000,0.0008240350875083683,small,100,COMPLETE
44,44,1203.895219834098,2020-10-19 06:11:02.113214,2020-10-19 06:17:51.735706,0 days 00:06:49.622492,256,1000000,0.0009611810465886267,small,100,COMPLETE
45,45,1867.0727349272347,2020-10-19 06:17:51.736279,2020-10-19 06:24:41.019177,0 days 00:06:49.282898,256,1000000,0.0010520901016592963,small,50,COMPLETE
46,46,1313.0123850736854,2020-10-19 06:24:41.019666,2020-10-19 06:31:30.738214,0 days 00:06:49.718548,256,1000000,0.0019936161001634714,small,100,COMPLETE
47,47,1246.8348480381187,2020-10-19 06:31:30.738700,2020-10-19 06:38:20.884431,0 days 00:06:50.145731,256,1000000,0.001646397516078742,small,50,COMPLETE
48,48,1190.7362967098122,2020-10-19 06:38:20.884927,2020-10-19 06:45:08.676090,0 days 00:06:47.791163,256,1000000,0.0005755603252958778,small,100,COMPLETE
49,49,1457.642775419233,2020-10-19 06:45:08.676577,2020-10-19 06:53:07.468685,0 days 00:07:58.792108,256,50000,0.0006736798450227823,big,50,COMPLETE
50,50,1564.2671446569752,2020-10-19 06:53:07.469175,2020-10-19 06:59:57.786901,0 days 00:06:50.317726,256,1000000,0.0012717928004472648,small,100,COMPLETE
51,51,1335.89951858939,2020-10-19 06:59:57.787393,2020-10-19 07:06:46.659614,0 days 00:06:48.872221,256,1000000,0.0004712773868960693,small,100,COMPLETE
52,52,1063.7303382777313,2020-10-19 07:06:46.660103,2020-10-19 07:13:34.838067,0 days 00:06:48.177964,256,1000000,0.000525155090927806,small,100,COMPLETE
53,53,1740.5610928455808,2020-10-19 07:13:34.838557,2020-10-19 07:20:24.194960,0 days 00:06:49.356403,256,1000000,0.0002664066567426947,small,100,COMPLETE
54,54,1502.8242695831082,2020-10-19 07:20:24.195455,2020-10-19 07:27:13.187704,0 days 00:06:48.992249,256,1000000,0.00042356501809903875,small,100,COMPLETE
55,55,1308.1209762201856,2020-10-19 07:27:13.188201,2020-10-19 07:34:01.595033,0 days 00:06:48.406832,256,1000000,0.00035638949445398023,small,100,COMPLETE
56,56,1168.3698564022961,2020-10-19 07:34:01.595523,2020-10-19 07:40:50.896825,0 days 00:06:49.301302,256,1000000,0.0005602270446394715,small,50,COMPLETE
57,57,1030.5743274848144,2020-10-19 07:40:50.897318,2020-10-19 07:52:21.821305,0 days 00:11:30.923987,512,50000,0.0007776007987970951,small,100,COMPLETE
58,58,1338.6036630279305,2020-10-19 07:52:21.821799,2020-10-19 08:03:52.265956,0 days 00:11:30.444157,512,50000,0.0007756968234299216,small,100,COMPLETE
59,59,1536.2458381825807,2020-10-19 08:03:52.266454,2020-10-19 08:16:43.941627,0 days 00:12:51.675173,512,50000,0.0005103500867349022,medium,1,COMPLETE
