r,l,t
-506.002899,318000,2169.682119
-229.716087,320000,2181.325815
-470.740047,322000,2192.960522
-383.901726,324000,2204.435867
-238.671437,326000,2215.844925
-157.714474,328000,2227.537678
-239.297382,330000,2239.175812
-384.860866,332000,2250.642187
-345.288356,334000,2262.306124
-164.574996,336000,2273.940645
-196.28713,338000,2286.120909
-270.776765,340000,2297.65023
-290.185573,342000,2309.094505
-428.700599,344000,2320.393245
-253.785538,346000,2331.626097
-149.537738,348000,2343.04765
-85.138501,350000,2354.342938
-112.756715,352000,2365.670569
-98.513088,354000,2376.954271
-123.613947,356000,2388.253694
-78.714489,358000,2399.554703
-72.306778,360000,2410.857183
-65.60608,362000,2422.23273
-68.190659,364000,2433.669762
-74.063204,366000,2445.629651
-86.025361,368000,2457.227305
-77.342088,370000,2468.580094
-76.979537,372000,2480.533377
-533.226513,374000,2493.6945
-548.754601,376000,2506.264687
-78.123229,378000,2518.26885
-92.976673,380000,2529.926903
-408.486883,382000,2541.599229
-546.948793,384000,2553.312447
-543.383129,386000,2564.997293
-726.498194,388000,2576.674651
-767.075409,390000,2588.374335
-743.253775,392000,2600.076199
-113.110345,394000,2611.978168
-101.992906,396000,2623.643743
-84.106843,398000,2635.395554
-84.380277,400000,2647.340349
-81.874573,402000,2659.182819
-96.885226,404000,2670.830486
-109.480409,406000,2682.430127
-80.947058,408000,2694.100615
-84.677326,410000,2705.961716
-95.320047,412000,2717.771432
-131.481772,414000,2729.525392
-458.27489,416000,2741.142339
-105.178736,418000,2752.692071
-76.647203,420000,2764.593608
-76.602345,422000,2776.554955
-77.087762,424000,2788.423649
-71.208346,426000,2800.222711
-82.0924,428000,2812.093498
-83.471703,430000,2824.305004
-90.470152,432000,2836.533081
-104.178694,434000,2848.408503
-59.816623,436000,2860.097298
-59.304607,438000,2873.493284
-59.169906,440000,2886.069723
-58.684193,442000,2898.447584
-54.922739,444000,2911.01251
-67.379157,446000,2923.849952
-66.217676,448000,2935.60355
-56.977772,450000,2947.441826
-68.309999,452000,2959.183614
-64.672895,454000,2970.78891
-71.914608,456000,2982.400293
-75.802668,458000,2993.908545
-95.153823,460000,3005.731195
-79.596608,462000,3017.527782
-61.086573,464000,3029.359658
-97.017699,466000,3041.13252
-66.740926,468000,3052.897937
-49.215523,470000,3064.662609
-57.366925,472000,3077.284834
-69.375942,474000,3089.129084
-88.52545,476000,3101.007854
-491.687892,478000,3112.695912
-74.096108,480000,3124.47109
-70.37757,482000,3136.350355
-74.438254,484000,3148.204658
-341.509229,486000,3160.060697
-66.74892,488000,3171.795435
-61.74412,490000,3183.445061
-49.108134,492000,3195.189554
-52.228723,494000,3207.900956
-52.882974,496000,3219.873028
-78.523697,498000,3231.645098
-253.84293,500000,3243.444677
-533.236811,502000,3255.235637
-73.70355,504000,3267.125004
-414.895899,506000,3278.876609
-92.228075,508000,3291.808535
-78.627583,510000,3303.745981
-83.918403,512000,3315.660666
-66.357289,514000,3327.595099
-474.002135,516000,3339.338969
-62.984739,518000,3351.131606
-64.264818,520000,3362.995109
-56.91558,522000,3374.809007
-57.443986,524000,3386.799639
-55.629056,526000,3398.559611
-57.209211,528000,3410.315165
-63.525252,530000,3422.087276
-169.551138,532000,3433.830369
-65.256563,534000,3445.555242
-49.575022,536000,3457.391062
-47.076236,538000,3469.340158
-55.528567,540000,3482.04225
-315.064542,542000,3493.685554
-507.34602,544000,3505.428629
-622.50448,546000,3517.200021
-301.056266,548000,3528.902921
-70.469706,550000,3540.461913
-68.452877,552000,3552.068535
-210.349491,554000,3563.686711
-346.895628,556000,3575.213411
-501.677115,558000,3586.688777
-82.466461,560000,3598.389514
-111.61373,562000,3610.093249
-123.004627,564000,3621.853335
-264.988285,566000,3633.501123
-108.342433,568000,3645.100575
-74.090814,570000,3656.733809
-52.18108,572000,3668.456719
-45.773645,574000,3680.130934
